Record_Nr;Pipe_description;Code_ASME;Code_Y;codeTol;T_37.8°C;T_93.3°C;T_148.9°C;T_204.4°C;T_260.0°C;T_315.6°C;T_343.3°C;T_371.1°C;T_398.9°C;T_426.7°C;T_454.4°C;T_482.2°C;T_510.0°C;T_537.8°C;T_565.6°C;T_593.3°C;T_621.1°C;T_648.9°C;T_676.7°C;T_704.4°C;T_732.2°C;T_760.0°C;T_787.8°C;T_815.6°C
118;EFW-ASTM A358 Gr.347 CL.1-3-4 (E=1);B31.3-2002;2;5;137.9;137.9;137.9;137.9;137.21;133.07;131.0;128.24;127.55;126.86;125.48;124.8;124.8;124.11;83.43;62.74;42.06;30.34;22.75;15.17;10.34;8.27;6.21;5.52
119;SMLS-PIPE ASTM A790 UNS S32750;B31.3-2002;2;1;266.83;241.32;228.22;219.94;216.5;215.12;;;;;;;;;;;;;;;;;;
120;EFW-PIPE ASTM A790 UNS S32750  (E=0.85);B31.3-2002;2;1;226.8;205.12;193.98;186.95;184.02;182.85;;;;;;;;;;;;;;;;;;
215;EFW -ASTM A691 Gr.9Cr Cl.22 (E=1);B31.3-2002;1;5;137.9;124.8;119.97;118.59;117.9;115.83;114.45;112.38;91.01;88.25;83.43;78.6;73.08;51.02;34.47;22.75;15.17;10.34;;;;;;
216;EFW-ASTM A672 Gr.C65 CL.22 (E=1);B31.3-2002;1;5;149.62;146.86;142.72;137.9;130.31;119.28;117.21;115.83;95.84;78.6;62.05;44.82;31.03;17.24;11.03;6.89;;;;;;;;
217;SMLS-PIPE W.N.1.4571-DIN17458 thk.>10(316Ti-U;NS S31635);2;1;137.9;137.9;137.9;131.69;128.79;119.24;116.46;114.4;112.38;110.27;108.15;107.25;106.49;105.99;;;;;;;;;;
218;FRG. ASTM A 105;;1;1;160.65;151.0;146.86;142.03;133.76;122.73;119.97;119.28;102.04;82.74;;;;;;;;;;;;;;
219;FRG.ASTM A 182 F304;;2;1;137.9;137.9;137.9;128.93;120.66;113.07;111.7;110.32;107.56;104.8;102.73;100.66;99.28;95.15;;;;;;;;;;
220;EFW - ASTM A312 TP316L (E=0.80);B31.3-2002;2;1;92.11;92.11;92.11;85.5;79.43;74.46;72.81;71.15;69.5;68.4;66.74;65.09;63.43;61.78;59.57;56.26;48.54;35.3;25.92;19.31;13.79;9.93;7.17;5.52
221;SMLS-PIPE ASTM B829 UNS N08028 (SANICRO 28);;2;1;143.0;130.49;122.15;113.38;105.8;99.42;96.58;93.49;90.33;87.96;85.54;;;;;;;;;;;;;
222;EFW-PIPE ASTM B829 UNS N08028 (SANICRO 28) (E=080);;2;5;114.4;104.39;97.72;90.7;84.64;79.53;77.26;74.79;72.26;70.37;68.42;;;;;;;;;;;;;
223;EFW - ASTM A312 TP316  (E=0.80);B31.3-2002;2;1;110.32;110.32;110.32;106.46;98.73;93.77;92.11;89.91;88.8;87.7;86.6;85.5;85.5;84.39;79.98;68.4;54.05;40.82;30.34;22.61;17.1;12.69;9.38;7.17
224;WLDD-ASTM B705 N08825(E=0.8)ASME SECT.II P.D;DIV.1 1998;2;5;116.94;116.94;112.52;105.9;100.94;98.18;97.08;95.42;94.87;94.32;93.22;92.67;92.11;91.56;;;;;;;;;;
225;SMLS-ASTM A312 TP321 B31.3-1987;;2;1;137.9;137.9;137.9;128.24;119.28;113.07;111.01;108.94;108.25;106.87;105.49;104.8;104.11;95.15;66.19;47.57;34.47;24.82;17.93;11.72;7.58;5.52;3.45;2.07
226;SMLS-ASTM A312 TP321         ASME/ANSI B31.3;1987 EDIT.;2;1;137.9;137.9;137.9;128.24;119.28;113.07;111.01;108.94;108.25;106.87;105.49;104.8;104.11;95.15;66.19;47.57;34.47;24.82;17.93;11.72;7.58;5.52;3.45;2.07
227;SMLS-ASTM B407 UNS No.N08810 Annealed;B31.3-2004;2;1;115.14;115.14;115.14;115.14;115.14;113.76;110.32;108.25;106.18;105.49;104.11;102.04;100.66;99.28;94.46;79.98;64.12;51.02;40.68;32.41;26.2;20.68;16.55;13.1
228;SMLS-API 5L Gr.X60;B31.3-2004;1;2;172.37;172.37;172.37;172.37;;;;;;;;;;;;;;;;;;;;
229;SMLS - API 5L Gr.X65;B31.3-2004;1;2;177.2;177.2;177.2;177.2;;;;;;;;;;;;;;;;;;;;
230;SMLS-API 5L Gr.X70;B31.3-2004;1;2;188.23;188.23;188.23;188.23;;;;;;;;;;;;;;;;;;;;
231;SMLS-API 5L Gr.X80;B31.3-2004;1;2;206.84;206.84;206.84;206.84;;;;;;;;;;;;;;;;;;;;
