Record_Nr;Pipe_description;Code_ASME;Code_Y;codeTol;T_37.8°C;T_93.3°C;T_148.9°C;T_204.4°C;T_260.0°C;T_315.6°C;T_343.3°C;T_371.1°C;T_398.9°C;T_426.7°C;T_454.4°C;T_482.2°C;T_510.0°C;T_537.8°C;T_565.6°C;T_593.3°C;T_621.1°C;T_648.9°C;T_676.7°C;T_704.4°C;T_732.2°C;T_760.0°C;T_787.8°C;T_815.6°C
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;124.11;121.0;117.28;113.56;107.35;98.04;96.18;95.56;80.67;67.02;53.99;40.33;27.92;15.51;;;;;;;;;;
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;134.65;132.17;128.45;124.11;117.28;107.35;105.49;104.25;86.25;70.74;55.85;40.33;27.92;15.51;;;;;;;;;;
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;144.58;143.34;139.62;134.65;127.21;116.04;114.18;113.56;91.84;74.46;57.71;40.33;27.92;15.51;;;;;;;;;;
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5;117.21;114.28;110.76;107.25;101.39;92.6;90.84;90.25;76.19;63.29;50.99;38.09;26.37;14.65;;;;;;;;;;
27;EFW -ASTM A672 Gr.A55 Cl.22 (E=1);B31.3-2002;1;5;126.17;126.17;122.04;118.59;111.7;102.04;99.97;99.28;83.43;70.33;57.92;44.82;31.03;17.24;11.03;6.89;;;;;;;;
28;EFW -ASTM A672 Gr.B55 Cl.22 (E=1);B31.3-2002;1;5;126.17;126.17;122.04;118.59;111.7;102.04;99.97;99.28;83.43;70.33;57.92;44.82;31.03;17.24;11.03;6.89;;;;;;;;
29;EFW -ASTM A672 Gr.B60 Cl.22 (E=1);B31.3-2002;1;5;137.9;134.45;130.31;126.17;119.28;108.94;106.87;106.18;89.63;74.46;59.98;44.82;31.03;17.24;11.03;6.89;;;;;;;;
30;EFW -ASTM A672 Gr.C55 Cl.22 (E=1);B31.3-2002;1;5;126.17;126.17;122.04;118.59;111.7;102.04;99.97;99.28;83.43;70.33;57.92;44.82;31.03;17.24;11.03;6.89;;;;;;;;
31;EFW -ASTM A672 Gr.C70 Cl.22 (E=1);B31.3-2002;1;5;160.65;159.27;155.13;149.62;141.34;128.93;126.86;126.17;102.04;82.74;64.12;44.82;31.03;17.24;11.03;6.89;;;;;;;;
32;EFW -ASTM A672 Gr.A50 Cl.12+TB 5451 (E=0.9);B31.3-2002;1;5;103.63;101.77;99.28;95.56;90.6;82.53;81.29;80.67;69.5;59.57;50.26;40.33;27.92;15.51;9.93;6.21;;;;;;;;
