Record_Nr;Pipe_description;Code_ASME;Code_Y;codeTol;TempF;AllowPsi
9;SMLS-API 5L  Gr.X46;B31.3-2002;1;2;100;21000
9;SMLS-API 5L  Gr.X46;B31.3-2002;1;2;200;21000
9;SMLS-API 5L  Gr.X46;B31.3-2002;1;2;300;21000
9;SMLS-API 5L  Gr.X46;B31.3-2002;1;2;400;21000
10;SMLS-API 5L  Gr.X52 - T.S. 66 ksi;B31.3-2002;1;2;100;22000
10;SMLS-API 5L  Gr.X52 - T.S. 66 ksi;B31.3-2002;1;2;200;22000
10;SMLS-API 5L  Gr.X52 - T.S. 66 ksi;B31.3-2002;1;2;300;22000
10;SMLS-API 5L  Gr.X52 - T.S. 66 ksi;B31.3-2002;1;2;400;22000
12;EFW-ASTM B464 Gr.20Cb (N08020) Ann.(E=0.8);B31.3-2002;2;1;100;18640
12;EFW-ASTM B464 Gr.20Cb (N08020) Ann.(E=0.8);B31.3-2002;2;1;200;16000
12;EFW-ASTM B464 Gr.20Cb (N08020) Ann.(E=0.8);B31.3-2002;2;1;300;15840
12;EFW-ASTM B464 Gr.20Cb (N08020) Ann.(E=0.8);B31.3-2002;2;1;400;15520
12;EFW-ASTM B464 Gr.20Cb (N08020) Ann.(E=0.8);B31.3-2002;2;1;500;15440
12;EFW-ASTM B464 Gr.20Cb (N08020) Ann.(E=0.8);B31.3-2002;2;1;600;15440
12;EFW-ASTM B464 Gr.20Cb (N08020) Ann.(E=0.8);B31.3-2002;2;1;650;15360
12;EFW-ASTM B464 Gr.20Cb (N08020) Ann.(E=0.8);B31.3-2002;2;1;700;15360
12;EFW-ASTM B464 Gr.20Cb (N08020) Ann.(E=0.8);B31.3-2002;2;1;750;15360
12;EFW-ASTM B464 Gr.20Cb (N08020) Ann.(E=0.8);B31.3-2002;2;1;800;15280
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;100;17000
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;200;17000
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;300;17000
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;400;17000
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;500;16065
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;600;14705
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;650;14450
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;700;14025
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;750;11050
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;800;9180
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;850;7395
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;900;5525
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;950;3825
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;1000;2125
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;1050;1360
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;1100;850
14;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(< 5"" O.D.)";B31.3-2002;2;4;100;18700
14;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(< 5"" O.D.)";B31.3-2002;2;4;200;16400
14;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(< 5"" O.D.)";B31.3-2002;2;4;300;15400
