Record_Nr;Pipe_description;Code_ASME;Code_Y;codeTol
107;SMLS-PIPE ASTM A790 UNS S31803;B31.3-2002;2;1
108;EFW-ASTM A790 UNS S31803  (E=0.85);B31.3-2002;2;1
109;SMLS-PIPE SA-335 GR.P22 ASME SECT.II PART D -;1998;1;1
110;"SMLS-ASTM A312 TP321 (THK.>3/8"")";B31.3-2002;2;1
111;"SMLS-ASTM A312 TP321+GA-E(THK.<=3/8""-T>1000F)";B31.3-2002;2;1
112;"SMLS-ASTM A312 TP321+GA-E(THK.>3/8""-T>1000F)";B31.3-2002;2;1
113;"SMLS-ASTM A312 TP321H (THK.>3/8"")";B31.3-2002;2;1
114;EFW-ASTM A358 GR321 CL1/3/4+GA-E(E=1-T>1000F);B31.3-2002;2;5
115;"SMLS-PIPE ASTM B729 UNS N08020 (OD<5"")";B31.3-2002;2;4
116;SMLS-PIPE SB-423 N08825 ASME SECT.II PART.D-D;IV.1 -1998;2;1
117;WLDD PIPE-SB423 N08825(E=1)ASME SECT.II-P.D-D;IV.1-1998;2;5
118;EFW-ASTM A358 Gr.347 CL.1-3-4 (E=1);B31.3-2002;2;5
119;SMLS-PIPE ASTM A790 UNS S32750;B31.3-2002;2;1
120;EFW-PIPE ASTM A790 UNS S32750  (E=0.85);B31.3-2002;2;1
121;;;0;0
122;;;0;0
123;;;0;0
124;;;0;0
125;;;0;0
126;;;0;0
127;;;0;0
128;;;0;0
129;;;0;0
130;;;0;0
131;;;0;0
132;;;0;0
133;;;0;0
134;;;0;0
135;;;0;0
136;;;0;0
137;;;0;0
138;;;0;0
139;;;0;0
140;;;0;0
141;;;0;0
142;;;0;0
143;;;0;0
144;;;0;0
145;;;0;0
146;;;0;0
147;;;0;0
148;;;0;0
149;;;0;0
150;;;0;0
151;;;0;0
152;;;0;0
153;;;0;0
154;;;0;0
155;;;0;0
156;;;0;0
157;;;0;0
158;;;0;0
159;;;0;0
160;;;0;0
161;;;0;0
162;;;0;0
163;;;0;0
164;;;0;0
165;;;0;0
166;;;0;0
167;;;0;0
168;;;0;0
169;;;0;0
170;;;0;0
171;;;0;0
172;;;0;0
173;;;0;0
174;;;0;0
175;;;0;0
176;;;0;0
177;;;0;0
178;;;0;0
179;;;0;0
180;;;0;0
181;;;0;0
182;;;0;0
183;;;0;0
184;;;0;0
185;;;0;0
186;;;0;0
187;;;0;0
188;;;0;0
189;;;0;0
190;;;0;0
191;;;0;0
192;;;0;0
193;;;0;0
194;;;0;0
195;;;0;0
196;;;0;0
197;;;0;0
198;;;0;0
199;;;0;0
200;;;0;0
201;;;0;0
202;;;0;0
203;;;0;0
204;;;0;0
205;;;0;0
206;;;1;1
207;;;1;1
208;;;0;0
209;;;0;0
210;;;0;0
211;;;0;0
212;;;0;0
213;;;0;0
214;;;2;5
215;EFW -ASTM A691 Gr.9Cr Cl.22 (E=1);B31.3-2002;1;5
216;EFW-ASTM A672 Gr.C65 CL.22 (E=1);B31.3-2002;1;5
217;SMLS-PIPE W.N.1.4571-DIN17458 thk.>10(316Ti-U;NS S31635);2;1
218;FRG. ASTM A 105;;1;1
219;FRG.ASTM A 182 F304;;2;1
220;EFW - ASTM A312 TP316L (E=0.80);B31.3-2002;2;1
221;SMLS-PIPE ASTM B829 UNS N08028 (SANICRO 28);;2;1
222;EFW-PIPE ASTM B829 UNS N08028 (SANICRO 28) (E=080);;2;5
223;EFW - ASTM A312 TP316  (E=0.80);B31.3-2002;2;1
224;WLDD-ASTM B705 N08825(E=0.8)ASME SECT.II P.D;DIV.1 1998;2;5
225;SMLS-ASTM A312 TP321 B31.3-1987;;2;1
226;SMLS-ASTM A312 TP321         ASME/ANSI B31.3;1987 EDIT.;2;1
227;SMLS-ASTM B407 UNS No.N08810 Annealed;B31.3-2004;2;1
228;SMLS-API 5L Gr.X60;B31.3-2004;1;2
229;SMLS - API 5L Gr.X65;B31.3-2004;1;2
230;SMLS-API 5L Gr.X70;B31.3-2004;1;2
231;SMLS-API 5L Gr.X80;B31.3-2004;1;2
