id;TempF;R_150;R_300;R_400;R_600;R_900;R_1500;R_2500;R_4500
45;400;140;360;480;720;1080;1800;3000;5400
45;500;140;360;480;720;1080;1800;3000;5400
45;600;140;360;480;720;1080;1800;3000;5400
46;100;155;400;535;805;1205;2010;3350;6025
46;200;155;400;535;805;1205;2010;3350;6025
46;300;155;400;535;805;1205;2010;3350;6025
46;400;155;400;535;805;1205;2010;3350;6025
46;500;155;400;535;805;1205;2010;3350;6025
46;600;155;400;535;805;1205;2010;3350;6025
47;100;230;600;800;1200;1800;3000;5000;9000
47;200;200;530;705;1055;1585;2640;4400;7920
47;300;190;495;660;990;1485;2470;4120;7415
47;400;185;480;635;955;1435;2390;3980;7165
47;500;170;475;635;950;1435;2375;3960;7130
47;600;140;475;635;950;1435;2375;3960;7130
47;650;125;475;635;950;1435;2375;3960;7130
47;700;110;475;635;950;1435;2375;3960;7130
47;750;95;470;625;935;1405;2340;3900;7020
47;800;80;460;610;915;1375;2290;3820;6875
47;850;65;340;455;680;1020;1695;2830;5090
47;900;50;245;330;495;740;1235;2055;3705
48;100;255;670;895;1340;2010;3350;5580;10045
48;200;225;590;785;1180;1770;2945;4910;8840
48;300;210;550;735;1100;1650;2755;4590;8260
48;400;205;535;710;1065;1600;2665;4440;7995
48;500;205;530;710;1060;1590;2650;4420;7955
48;600;205;530;710;1060;1590;2650;4420;7955
48;650;205;530;710;1060;1590;2650;4420;7955
48;700;205;530;710;1060;1590;2650;4420;7955
48;750;200;520;695;1045;1565;2610;4355;7835
48;800;195;510;680;1025;1535;2560;4265;7675
48;850;170;440;590;885;1325;2210;3685;6630
48;900;125;320;430;645;965;1605;2680;4820
49;100;290;750;1000;1500;2250;3750;6250;11250
49;200;260;750;1000;1500;2250;3750;6250;11250
49;300;230;730;970;1455;2185;3640;6070;10925
49;400;200;705;940;1410;2115;3530;5880;10585
49;500;170;665;885;1330;1995;3325;5540;9965
49;600;140;605;805;1210;1815;3025;5040;9070
49;650;125;590;785;1175;1765;2940;4905;8825
49;700;110;570;755;1135;1705;2840;4730;8515
49;750;95;530;710;1065;1595;2660;4430;7970
49;800;80;510;675;1015;1520;2540;4230;7610
49;850;65;485;650;975;1460;2435;4060;7305
49;900;50;450;600;900;1350;2245;3745;6740
49;950;35;325;435;655;980;1635;2725;4905
49;1000;20;215;290;430;650;1080;1800;3240
49;1050;0;140;185;280;415;695;1155;2085
49;1100;0;95;125;185;280;465;770;1390
49;1150;0;70;90;135;205;340;565;1020
49;1200;0;60;80;125;185;310;515;925
50;100;290;750;1000;1500;2250;3750;6250;11250
50;200;290;750;1000;1500;2250;3750;6250;11250
50;300;290;750;1000;1500;2250;3750;6250;11250
50;400;290;750;1000;1500;2250;3750;6250;11250
50;500;290;750;1000;1500;2250;3750;6250;11250
50;600;285;745;995;1495;2240;3735;6230;11200
50;650;280;735;980;1470;2200;3670;6115;11010
50;700;275;725;965;1445;2170;3615;6025;10850
50;750;270;710;945;1420;2130;3550;5915;10645
50;800;270;700;930;1400;2095;3495;5825;10485
50;850;260;680;905;1355;2030;3385;5645;10160
50;900;230;600;800;1200;1800;3000;5000;9000
50;950;165;425;570;850;1280;2130;3550;6390
50;1000;110;280;375;565;845;1405;2345;4220
50;1050;70;180;240;360;540;905;1505;2710
50;1100;45;120;160;240;360;605;1005;1810
50;1150;35;90;120;175;265;440;735;1325
50;1200;30;80;105;160;240;400;670;1205
51;100;275;720;960;1440;2160;3600;6000;10800
51;200;255;660;885;1325;1990;3310;5520;9935
51;300;230;625;830;1250;1870;3120;5200;9360
51;400;200;600;800;1200;1800;3000;5000;9000
51;500;170;580;770;1155;1735;2890;4820;8875
51;600;140;575;765;1145;1720;2870;4780;8605
51;650;125;570;760;1140;1705;2845;4740;8530
51;700;110;565;750;1130;1690;2820;4700;8460
51;750;95;530;710;1065;1595;2650;4430;7970
51;800;80;505;675;1015;1520;2535;4230;7610
51;850;65;485;650;975;1460;2435;4060;7305
51;900;50;450;600;900;1350;2245;3745;6740
51;950;35;385;515;775;1160;1930;3220;5795
51;1000;20;365;485;725;1090;1820;3030;5450
51;1050;0;360;480;720;1080;1800;3000;5400
51;1100;0;325;430;645;965;1610;2685;4835
51;1150;0;275;365;550;825;1370;2285;4115
51;1200;0;205;270;405;610;1020;1695;3055
51;1250;0;130;175;260;390;650;1080;1945
51;1300;0;60;80;125;185;310;515;925
51;1350;0;50;65;100;150;245;410;740
51;1400;0;35;45;70;100;170;285;510
51;1450;0;30;40;60;95;155;255;465
51;1500;0;25;35;50;75;125;205;370
52;100;290;750;1000;1500;2250;3750;6250;11250
52;200;285;740;985;1480;2220;3695;6160;11090
52;300;265;695;930;1395;2090;3480;5805;10445
52;400;255;670;895;1340;2010;3350;5580;10045
52;500;245;645;860;1290;1935;3230;5380;9685
52;600;245;640;855;1280;1920;3200;5335;9605
52;650;245;635;845;1270;1905;3175;5290;9523
52;700;240;630;840;1260;1890;3145;5245;9440
52;750;240;625;830;1250;1870;3120;5200;9360
52;800;235;615;820;1230;1850;3080;5135;9240
52;850;235;615;820;1230;1845;3075;5125;9220
52;900;230;600;800;1200;1800;3000;5000;9000
52;950;180;470;630;945;1415;2360;3930;7070
52;1000;160;420;560;840;1260;2105;3505;6310
52;1050;160;420;560;840;1260;2105;3505;6310
52;1100;155;405;540;805;1210;2015;3360;6045
52;1150;130;345;460;685;1030;1715;2860;5145
52;1200;100;260;345;515;770;1285;2145;3860
52;1250;65;170;225;335;505;845;1405;2530
52;1300;30;80;105;160;240;400;670;1205
52;1350;25;65;85;130;195;320;535;965
52;1400;15;45;60;90;135;220;370;665
52;1450;15;40;55;80;120;200;335;605
52;1500;10;30;45;65;95;160;270;480
53;100;290;750;1000;1500;2250;3750;6250;11250
53;200;260;750;1000;1500;2250;3750;6250;11250
53;300;230;730;970;1455;2185;3640;6070;10925
53;400;200;705;940;1410;2115;3530;5880;10585
53;500;170;665;885;1330;1995;3325;5540;9965
53;600;140;605;805;1210;1815;3025;5040;9070
53;650;125;590;785;1175;1765;2940;4905;8825
53;700;110;570;755;1135;1705;2840;4730;8515
53;750;95;530;710;1065;1595;2660;4430;7970
53;800;80;510;675;1015;1520;2540;4230;7610
54;100;290;750;1000;1500;2250;3750;6250;11250
54;200;290;750;1000;1500;2250;3750;6250;11250
54;300;290;750;1000;1500;2250;3750;6250;11250
54;400;290;750;1000;1500;2250;3750;6250;11250
54;500;290;750;1000;1500;2250;3750;6250;11250
54;600;290;750;1000;1500;2250;3750;6250;11250
54;650;290;750;1000;1500;2250;3750;6250;11250
54;700;280;735;980;1465;2200;3665;6110;10995
54;750;280;730;970;1460;2185;3645;6070;10930
54;800;275;720;960;1440;2160;3600;6000;10800
55;100;290;750;1000;1500;2250;3750;6250;11250
55;200;260;750;1000;1500;2250;3750;6250;11250
55;300;230;730;970;1455;2185;3640;6070;10925
55;400;200;705;940;1410;2115;3530;5880;10585
55;500;170;665;885;1330;1995;3325;5540;9965
55;600;140;605;805;1210;1815;3025;5040;9070
55;650;125;590;785;1175;1765;2940;4905;8825
55;700;110;570;755;1135;1705;2840;4730;8515
55;750;95;530;710;1065;1595;2660;4430;7970
55;800;80;510;675;1015;1520;2540;4230;7610
55;850;65;485;650;975;1460;2435;4060;7305
55;900;50;450;600;900;1520;2245;3745;6740
55;950;35;385;515;775;1160;1930;3220;5795
55;1000;20;365;485;725;1090;1820;3030;5450
55;1050;0;360;480;720;1080;1800;3000;5400
55;1100;0;325;430;645;965;1610;2685;4835
55;1150;0;275;365;550;825;1370;2285;4115
55;1200;0;185;245;370;555;925;1545;2775
55;1250;0;145;195;295;440;735;1220;2200
55;1300;0;110;145;215;325;540;900;1620
56;100;290;750;1000;1500;2250;3750;6250;11250
56;200;290;750;1000;1500;2250;3750;6250;11250
56;300;290;750;1000;1500;2250;3750;6250;11250
56;400;290;750;1000;1500;2250;3750;6250;11250
56;500;285;740;990;1485;2225;3710;6185;11130
56;600;275;725;965;1445;2170;3615;6025;10850
56;650;270;710;945;1420;2130;3550;5915;10645
56;700;265;695;930;1395;2090;3480;5805;10445
56;750;265;690;920;1380;2075;3455;5760;10365
56;800;265;685;915;1370;2055;3430;5715;10285
56;850;260;675;900;1350;2025;3375;5625;10125
56;900;230;600;800;1200;1800;3000;5000;9000
56;950;180;470;630;945;1415;2360;3930;7070
56;1000;160;420;560;840;1260;2105;3505;6310
56;1050;160;420;560;840;1260;2105;3505;6310
56;1100;155;405;540;805;1210;2015;3360;6045
56;1150;130;345;460;685;1030;1715;2860;5145
56;1200;90;240;320;480;725;1205;2010;3615
56;1250;75;190;255;380;575;955;1590;2865
